,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
938,2019,Infiniti,Q50_Red_Sport_400, 36900, Rahway, NJ ,49150,Minor Damage,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,9
939,2019,Infiniti,Q50_Luxe, 27900, Hillside, NJ ,43994,Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,1
940,2015,Infiniti,Q50_Premium, 17900, Bloomfield, NJ ,96743,Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,3
941,2012,Infiniti,G37, 11495, Newark, NJ ,176163,No Accident or Damage Reported,Sedan,Brown_Engine:_6_Cyl_3.7_L_,3+ Owners,Personal Use,29
942,2013,Infiniti,G37, 15995, North Middletown, NJ ,97285,Accident Reported,Sedan,Silver_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,15
943,2010,Infiniti,FX35_Base, 16495, Newark, NJ ,132297,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,2-Owner,Personal Use,10
944,2011,Infiniti,G37, 11895, Hasbrouck Heights, NJ ,103000,Branded Title,Sedan,White_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,31
945,2021,Infiniti,Q50_Pure, 28995, Wall Township, NJ ,7903,Branded Title,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
946,1998,Infiniti,I30_Base, 2999, Teterboro, NJ ,147392,No Accident or Damage Reported,Sedan,Beige_Engine:_6_Cyl_3.0_L_,3+ Owners,Personal Use,7
947,2018,Infiniti,Q50_Sport, 36995, Great Neck, NY ,41003,Minor Damage,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
948,2018,Infiniti,QX60_Base, 27890, Great Neck, NY ,33680,Accident/Minor Damage,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
949,2018,Infiniti,QX60_Base, 26890, Great Neck, NY ,51797,Minor Damage,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,1
950,2018,Infiniti,Q50_Luxe, 21990, Great Neck, NY ,46000,Minor Damage,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,14
951,2018,Infiniti,Q50_Sport, 26690, Great Neck, NY ,54477,Minor Damage,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
952,2018,Infiniti,QX60_Base, 28895, Great Neck, NY ,40230,Minor Damage,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,7
953,2018,Infiniti,Q50_Luxe, 21890, Great Neck, NY ,48752,Minor Damage,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,10
954,2018,Infiniti,Q50_Sport, 24995, Great Neck, NY ,49049,Accident/Minor Damage,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,13
955,2017,Infiniti,Q50_Sport, 23345, Great Neck, NY ,30885,Odometer Rollback,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
956,2018,Infiniti,Q50, Call for Price, Fairfield, CT ,0,No Accident or Damage Reported,Sedan,6_Cyl_3.0_L_,2-Owner,Personal Use,5
957,2020,Infiniti,Q50_Luxe, Call for Price, Richmond Hill, NY ,14120,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,3+ Owners,Personal Use,5
958,2018,Infiniti,QX60_Base, Call for Price, Richmond Hill, NY ,31790,Minor Damage,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
959,2017,Infiniti,QX50_Base, 24253, Englewood, NJ ,46421,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.7_L_,3+ Owners,Multiple Use,9
